Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,6.374000,6.469000,6.374000,6.392000,6.392000,195847
2019-08-16,6.400000,6.420000,6.353000,6.373500,6.373500,408987
2019-08-19,6.355000,6.355000,6.269000,6.323000,6.323000,133286
2019-08-20,6.321000,6.370000,6.316000,6.339000,6.339000,92836
2019-08-21,6.314000,6.348200,6.312000,6.343500,6.343500,141822
2019-08-22,6.352000,6.352000,6.293500,6.311000,6.311000,92436
2019-08-23,6.239000,6.351000,6.224000,6.332000,6.332000,645941
2019-08-27,6.370000,6.448000,6.370000,6.451000,6.451000,279543
2019-08-28,6.500000,6.510000,6.478000,6.479000,6.479000,100445
2019-08-29,6.469000,6.469000,6.403000,6.404500,6.404500,272836
2019-08-30,6.424000,6.436000,6.394000,6.418000,6.418000,197605
2019-09-02,6.475000,6.475000,6.419000,6.435000,6.435000,177786
2019-09-03,6.475000,6.524000,6.430000,6.517500,6.517500,751782
2019-09-04,6.446000,6.454000,6.414000,6.453500,6.453500,338261
2019-09-05,6.416000,6.416000,6.314710,6.327500,6.327500,172163
2019-09-06,6.317000,6.381100,6.310000,6.372500,6.372500,385835
2019-09-09,6.369000,6.369000,6.285000,6.296500,6.296500,168091
2019-09-10,6.281000,6.294000,6.228800,6.246000,6.246000,261239
2019-09-11,6.189000,6.189000,6.170000,6.177500,6.177500,123850
2019-09-12,6.177000,6.242000,6.148100,6.141000,6.141000,206592
2019-09-13,6.112000,6.112000,6.014000,6.031500,6.031500,296911
2019-09-16,6.018000,6.104000,6.011000,6.045500,6.045500,83718
2019-09-17,6.046000,6.113000,6.046000,6.109000,6.109000,238135
2019-09-18,6.096000,6.150000,6.096000,6.156000,6.156000,70561
2019-09-19,6.149000,6.175000,6.131000,6.145500,6.145500,190964
2019-09-20,6.177000,6.177000,6.141000,6.166500,6.166500,129014
2019-09-23,6.170000,6.276000,6.170000,6.255000,6.255000,102756
2019-09-24,6.225000,6.277000,6.217000,6.277000,6.277000,266979
2019-09-25,6.284000,6.300000,6.231000,6.241000,6.241000,167963
2019-09-26,6.230000,6.247000,6.222000,6.244500,6.244500,129314
2019-09-27,6.235000,6.248000,6.207000,6.246500,6.246500,139267
2019-09-30,6.222000,6.255000,6.219000,6.248000,6.248000,91990
2019-10-01,6.236000,6.304300,6.173000,6.298500,6.298500,482990
2019-10-02,6.262000,6.331000,6.262000,6.327000,6.327000,254568
2019-10-03,6.341000,6.377000,6.321810,6.346500,6.346500,133821
2019-10-04,6.384000,6.393000,6.367000,6.389000,6.389000,218742
2019-10-07,6.410000,6.410000,6.366000,6.387000,6.387000,1220485
2019-10-08,6.348000,6.408000,6.348000,6.399000,6.399000,69572
2019-10-09,6.391000,6.391000,6.329000,6.340500,6.340500,229338
2019-10-10,6.318000,6.330000,6.235800,6.242500,6.242500,182226
2019-10-11,6.237000,6.238000,6.151000,6.157000,6.157000,240496
2019-10-14,6.211000,6.237000,6.191000,6.191000,6.191000,76361
2019-10-15,6.232000,6.237000,6.158000,6.157000,6.157000,171750
2019-10-16,6.155000,6.179000,6.135000,6.142500,6.142500,101120
2019-10-17,6.163000,6.163000,6.094000,6.143000,6.143000,213221
2019-10-18,6.144000,6.153000,6.115000,6.143000,6.143000,175828
2019-10-21,6.131000,6.131000,6.076000,6.088000,6.088000,154099
2019-10-22,6.085000,6.123000,6.085000,6.110500,6.110500,63651
2019-10-23,6.135000,6.159000,6.134000,6.148000,6.148000,10579
2019-10-24,6.133000,6.154000,6.105000,6.149500,6.149500,19464
2019-10-25,6.123000,6.138000,6.107000,6.110000,6.110000,140613
2019-10-28,6.035000,6.113200,6.013000,6.013000,6.013000,60688
2019-10-29,6.029000,6.061000,6.025000,6.040000,6.040000,174025
2019-10-30,6.049000,6.085000,6.034000,6.082000,6.082000,150478
2019-10-31,6.145000,6.214000,6.131000,6.203000,6.203000,54136
2019-11-01,6.191000,6.214000,6.156000,6.152000,6.152000,250731
2019-11-04,6.152000,6.152000,6.086000,6.086000,6.086000,78357
2019-11-05,6.059000,6.069000,6.016000,6.025500,6.025500,207746
2019-11-06,6.047000,6.075000,6.047000,6.054000,6.054000,160231
2019-11-07,6.003000,6.039000,5.960000,5.965000,5.965000,39868
2019-11-08,5.979000,5.996000,5.931000,5.964000,5.964000,407589
2019-11-11,5.957000,5.960000,5.927000,5.932000,5.932000,24962
2019-11-12,5.945000,5.953200,5.932000,5.940500,5.940500,58594
2019-11-13,5.967000,6.021000,5.967000,6.005500,6.005500,39672
2019-11-14,6.034000,6.077000,6.029000,6.075500,6.075500,56495
2019-11-15,6.061000,6.068000,6.048000,6.048000,6.048000,541253
2019-11-18,6.060000,6.087000,6.032000,6.069000,6.069000,18548
2019-11-19,6.060000,6.118000,6.060000,6.115000,6.115000,38645
2019-11-20,6.168000,6.190000,6.148000,6.156000,6.156000,539737
2019-11-21,6.208000,6.208000,6.141000,6.146500,6.146500,58173
2019-11-22,6.135000,6.173000,6.135000,6.163500,6.163500,59729
2019-11-25,6.150000,6.181000,6.126000,6.168000,6.168000,34820
2019-11-26,6.185000,6.218000,6.178000,6.214000,6.214000,132202
2019-11-27,6.216000,6.216000,6.182000,6.180500,6.180500,208030
2019-11-28,6.202000,6.202000,6.179000,6.180000,6.180000,11431
2019-11-29,6.204000,6.204000,6.159000,6.162000,6.162000,181306
2019-12-02,6.114000,6.121000,6.076000,6.105500,6.105500,403852
2019-12-03,6.100000,6.237000,6.089000,6.234500,6.234500,1189504
2019-12-04,6.205000,6.223000,6.144000,6.144000,6.144000,61852
2019-12-05,6.145000,6.158300,6.105000,6.128000,6.128000,205925
2019-12-06,6.130000,6.130000,6.071000,6.105500,6.105500,44898
2019-12-09,6.116000,6.121000,6.107000,6.116500,6.116500,83517
2019-12-10,6.138000,6.150000,6.109800,6.114500,6.114500,123938
2019-12-11,6.137000,6.163000,6.137000,6.158500,6.158500,117323
2019-12-12,6.153000,6.153000,6.033000,6.045000,6.045000,74219
2019-12-13,6.068000,6.130000,6.042450,6.143500,6.143500,183882
2019-12-16,6.122000,6.130000,6.066000,6.071000,6.071000,198660
2019-12-17,6.109000,6.109430,6.065000,6.062000,6.062000,147364
2019-12-18,6.070000,6.086000,6.017000,6.014000,6.014000,163548
2019-12-19,6.006000,6.024000,5.985000,6.024000,6.024000,425541
2019-12-20,6.021000,6.028000,6.000000,6.018500,6.018500,142850
2019-12-23,6.056000,6.062000,6.023000,6.023000,6.023000,371481
2019-12-24,6.037000,6.037000,6.021000,6.026000,6.026000,183372
2019-12-27,6.050000,6.076000,6.048000,6.069000,6.069000,1785953
2019-12-30,6.057000,6.057000,5.981000,5.997000,5.997000,243793
2019-12-31,6.050000,6.050000,6.036000,6.032500,6.032500,11740
2020-01-02,5.985000,6.063000,5.956000,6.052000,6.052000,259666
2020-01-03,6.108000,6.127000,6.091000,6.118500,6.118500,149791
2020-01-06,6.122000,6.169000,6.114000,6.114000,6.114000,750143
2020-01-07,6.123000,6.123000,6.091000,6.093000,6.093000,79910
2020-01-08,6.124000,6.124000,6.081000,6.072500,6.072500,102211
