"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2001","1,619.5","1,619.5","1,619.5","1,619.5","-","-0.71%"
"Aug 09, 2001","1,631.0","1,631.0","1,631.0","1,631.0","-","0.17%"
"Aug 08, 2001","1,628.3","1,628.3","1,628.3","1,628.3","-","-4.13%"
"Aug 07, 2001","1,698.5","1,698.5","1,698.5","1,698.5","-","-0.38%"
"Aug 06, 2001","1,705.0","1,705.0","1,705.0","1,705.0","-","-1.34%"
"Aug 03, 2001","1,728.1","1,728.1","1,728.1","1,728.1","-","-1.45%"
"Aug 02, 2001","1,753.6","1,753.6","1,753.6","1,753.6","-","1.26%"
"Aug 01, 2001","1,731.7","1,731.7","1,731.7","1,731.7","-","2.73%"
"Jul 31, 2001","1,685.7","1,685.7","1,685.7","1,685.7","-","0.81%"
"Jul 30, 2001","1,672.1","1,672.1","1,672.1","1,672.1","-","-0.78%"
"Jul 27, 2001","1,685.2","1,685.2","1,685.2","1,685.2","-","0.58%"
"Jul 26, 2001","1,675.4","1,675.4","1,675.4","1,675.4","-","2.80%"
"Jul 25, 2001","1,629.8","1,629.8","1,629.8","1,629.8","-","1.43%"
"Jul 24, 2001","1,606.8","1,606.8","1,606.8","1,606.8","-","-1.54%"
"Jul 23, 2001","1,631.9","1,631.9","1,631.9","1,631.9","-","-2.78%"
"Jul 20, 2001","1,678.5","1,678.5","1,678.5","1,678.5","-","-1.14%"
"Jul 19, 2001","1,697.9","1,697.9","1,697.9","1,697.9","-","1.74%"
"Jul 18, 2001","1,668.9","1,668.9","1,668.9","1,668.9","-","-3.62%"
"Jul 17, 2001","1,731.6","1,731.6","1,731.6","1,731.6","-","2.60%"
"Jul 16, 2001","1,687.7","1,687.7","1,687.7","1,687.7","-","-3.74%"
"Jul 13, 2001","1,753.2","1,753.2","1,753.2","1,753.2","-","0.06%"
"Jul 12, 2001","1,752.2","1,752.2","1,752.2","1,752.2","-","6.61%"
"Jul 11, 2001","1,643.5","1,643.5","1,643.5","1,643.5","-","1.03%"
"Jul 10, 2001","1,626.8","1,626.8","1,626.8","1,626.8","-","-4.25%"
"Jul 09, 2001","1,699.0","1,699.0","1,699.0","1,699.0","-","1.71%"
"Jul 06, 2001","1,670.5","1,670.5","1,670.5","1,670.5","-","-4.71%"
"Jul 05, 2001","1,753.0","1,753.0","1,753.0","1,753.0","-","-3.91%"
"Jul 03, 2001","1,824.3","1,824.3","1,824.3","1,824.3","-","-0.27%"
"Jul 02, 2001","1,829.2","1,829.2","1,829.2","1,829.2","-","-0.17%"
"Jun 29, 2001","1,832.3","1,832.3","1,832.3","1,832.3","-","1.18%"
"Jun 28, 2001","1,811.0","1,811.0","1,811.0","1,811.0","-","3.01%"
"Jun 27, 2001","1,758.1","1,758.1","1,758.1","1,758.1","-","0.25%"
"Jun 26, 2001","1,753.7","1,753.7","1,753.7","1,753.7","-","0.45%"
"Jun 25, 2001","1,745.9","1,745.9","1,745.9","1,745.9","-","0.95%"
"Jun 22, 2001","1,729.5","1,729.5","1,729.5","1,729.5","-","-1.36%"
"Jun 21, 2001","1,753.3","1,753.3","1,753.3","1,753.3","-","1.72%"
"Jun 20, 2001","1,723.6","1,723.6","1,723.6","1,723.6","-","2.73%"
"Jun 19, 2001","1,677.8","1,677.8","1,677.8","1,677.8","-","0.56%"
"Jun 18, 2001","1,668.4","1,668.4","1,668.4","1,668.4","-","-2.06%"
"Jun 15, 2001","1,703.5","1,703.5","1,703.5","1,703.5","-","-0.58%"
"Jun 14, 2001","1,713.4","1,713.4","1,713.4","1,713.4","-","-4.40%"
"Jun 13, 2001","1,792.3","1,792.3","1,792.3","1,792.3","-","-3.34%"
"Jun 12, 2001","1,854.2","1,854.2","1,854.2","1,854.2","-","0.30%"
"Jun 11, 2001","1,848.6","1,848.6","1,848.6","1,848.6","-","-2.62%"
"Jun 08, 2001","1,898.4","1,898.4","1,898.4","1,898.4","-","-3.42%"
"Jun 07, 2001","1,965.6","1,965.6","1,965.6","1,965.6","-","3.12%"
"Jun 06, 2001","1,906.1","1,906.1","1,906.1","1,906.1","-","-1.04%"
"Jun 05, 2001","1,926.1","1,926.1","1,926.1","1,926.1","-","4.62%"
"Jun 04, 2001","1,841.0","1,841.0","1,841.0","1,841.0","-","-0.11%"
"Jun 01, 2001","1,843.0","1,843.0","1,843.0","1,843.0","-","2.28%"
"May 31, 2001","1,802.0","1,802.0","1,802.0","1,802.0","-","1.17%"
"May 30, 2001","1,781.1","1,781.1","1,781.1","1,781.1","-","-5.04%"
"May 29, 2001","1,875.7","1,875.7","1,875.7","1,875.7","-","-4.45%"
"May 25, 2001","1,963.0","1,963.0","1,963.0","1,963.0","-","-2.13%"
"May 24, 2001","2,005.7","2,005.7","2,005.7","2,005.7","-","2.34%"
"May 23, 2001","1,959.8","1,959.8","1,959.8","1,959.8","-","-4.18%"
"May 22, 2001","2,045.3","2,045.3","2,045.3","2,045.3","-","-0.47%"
"May 21, 2001","2,055.0","2,055.0","2,055.0","2,055.0","-","6.48%"
"May 18, 2001","1,929.9","1,929.9","1,929.9","1,929.9","-","0.13%"
"May 17, 2001","1,927.4","1,927.4","1,927.4","1,927.4","-","1.36%"
"May 16, 2001","1,901.6","1,901.6","1,901.6","1,901.6","-","5.71%"
"May 15, 2001","1,798.9","1,798.9","1,798.9","1,798.9","-","0.10%"
"May 14, 2001","1,797.1","1,797.1","1,797.1","1,797.1","-","-1.44%"
"May 11, 2001","1,823.3","1,823.3","1,823.3","1,823.3","-","-0.93%"
"May 10, 2001","1,840.4","1,840.4","1,840.4","1,840.4","-","-2.05%"
"May 09, 2001","1,879.0","1,879.0","1,879.0","1,879.0","-","-2.72%"
"May 08, 2001","1,931.5","1,931.5","1,931.5","1,931.5","-","1.79%"
"May 07, 2001","1,897.6","1,897.6","1,897.6","1,897.6","-","-1.47%"
"May 04, 2001","1,926.0","1,926.0","1,926.0","1,926.0","-","2.45%"
"May 03, 2001","1,880.0","1,880.0","1,880.0","1,880.0","-","-4.31%"
"May 02, 2001","1,964.6","1,964.6","1,964.6","1,964.6","-","2.26%"
"May 01, 2001","1,921.1","1,921.1","1,921.1","1,921.1","-","3.44%"
"Apr 30, 2001","1,857.2","1,857.2","1,857.2","1,857.2","-","2.47%"
"Apr 27, 2001","1,812.5","1,812.5","1,812.5","1,812.5","-","2.68%"
"Apr 26, 2001","1,765.2","1,765.2","1,765.2","1,765.2","-","-2.81%"
"Apr 25, 2001","1,816.3","1,816.3","1,816.3","1,816.3","-","2.96%"
"Apr 24, 2001","1,764.1","1,764.1","1,764.1","1,764.1","-","-2.74%"
"Apr 23, 2001","1,813.8","1,813.8","1,813.8","1,813.8","-","-6.29%"
"Apr 20, 2001","1,935.6","1,935.6","1,935.6","1,935.6","-","-1.01%"
"Apr 19, 2001","1,955.4","1,955.4","1,955.4","1,955.4","-","6.69%"
"Apr 18, 2001","1,832.8","1,832.8","1,832.8","1,832.8","-","9.53%"
"Apr 17, 2001","1,673.3","1,673.3","1,673.3","1,673.3","-","1.29%"
"Apr 16, 2001","1,652.0","1,652.0","1,652.0","1,652.0","-","-3.74%"
"Apr 12, 2001","1,716.1","1,716.1","1,716.1","1,716.1","-","4.06%"
"Apr 11, 2001","1,649.1","1,649.1","1,649.1","1,649.1","-","3.09%"
"Apr 10, 2001","1,599.6","1,599.6","1,599.6","1,599.6","-","7.88%"
"Apr 09, 2001","1,482.8","1,482.8","1,482.8","1,482.8","-","2.28%"
"Apr 06, 2001","1,449.7","1,449.7","1,449.7","1,449.7","-","-4.67%"
"Apr 05, 2001","1,520.7","1,520.7","1,520.7","1,520.7","-","10.82%"
"Apr 04, 2001","1,372.2","1,372.2","1,372.2","1,372.2","-","-2.02%"
"Apr 03, 2001","1,400.5","1,400.5","1,400.5","1,400.5","-","-7.75%"
"Apr 02, 2001","1,518.2","1,518.2","1,518.2","1,518.2","-","-3.60%"
"Mar 30, 2001","1,574.9","1,574.9","1,574.9","1,574.9","-","0.65%"
"Mar 29, 2001","1,564.8","1,564.8","1,564.8","1,564.8","-","-2.44%"
"Mar 28, 2001","1,603.9","1,603.9","1,603.9","1,603.9","-","-7.69%"
"Mar 27, 2001","1,737.5","1,737.5","1,737.5","1,737.5","-","3.51%"
"Mar 26, 2001","1,678.6","1,678.6","1,678.6","1,678.6","-","-1.65%"
"Mar 23, 2001","1,706.8","1,706.8","1,706.8","1,706.8","-","0.19%"
"Mar 22, 2001","1,703.6","1,703.6","1,703.6","1,703.6","-","6.03%"
"Mar 21, 2001","1,606.7","1,606.7","1,606.7","1,606.7","-","-0.58%"
"Mar 20, 2001","1,616.1","1,616.1","1,616.1","1,616.1","-","-6.70%"
"Mar 19, 2001","1,732.2","1,732.2","1,732.2","1,732.2","-","5.03%"
"Mar 16, 2001","1,649.2","1,649.2","1,649.2","1,649.2","-","-2.97%"
"Mar 15, 2001","1,699.7","1,699.7","1,699.7","1,699.7","-","-2.70%"
"Mar 14, 2001","1,746.9","1,746.9","1,746.9","1,746.9","-","-2.49%"
"Mar 13, 2001","1,791.5","1,791.5","1,791.5","1,791.5","-","6.49%"
"Mar 12, 2001","1,682.3","1,682.3","1,682.3","1,682.3","-","-7.31%"
"Mar 09, 2001","1,814.9","1,814.9","1,814.9","1,814.9","-","-6.45%"
"Mar 08, 2001","1,940.1","1,940.1","1,940.1","1,940.1","-","-2.91%"
"Mar 07, 2001","1,998.3","1,998.3","1,998.3","1,998.3","-","1.01%"
"Mar 06, 2001","1,978.3","1,978.3","1,978.3","1,978.3","-","3.11%"
"Mar 05, 2001","1,918.6","1,918.6","1,918.6","1,918.6","-","1.87%"
"Mar 02, 2001","1,883.3","1,883.3","1,883.3","1,883.3","-","-4.40%"
"Mar 01, 2001","1,970.0","1,970.0","1,970.0","1,970.0","-","3.13%"
"Feb 28, 2001","1,910.3","1,910.3","1,910.3","1,910.3","-","-2.86%"
"Feb 27, 2001","1,966.5","1,966.5","1,966.5","1,966.5","-","-6.35%"
"Feb 26, 2001","2,099.8","2,099.8","2,099.8","2,099.8","-","2.02%"
"Feb 23, 2001","2,058.2","2,058.2","2,058.2","2,058.2","-","1.16%"
"Feb 22, 2001","2,034.5","2,034.5","2,034.5","2,034.5","-","-1.27%"
"Feb 21, 2001","2,060.6","2,060.6","2,060.6","2,060.6","-","-1.75%"
"Feb 20, 2001","2,097.2","2,097.2","2,097.2","2,097.2","-","-5.31%"
"Feb 16, 2001","2,214.8","2,214.8","2,214.8","2,214.8","-","-6.68%"
"Feb 15, 2001","2,373.4","2,373.4","2,373.4","2,373.4","-","2.82%"
"Feb 14, 2001","2,308.2","2,308.2","2,308.2","2,308.2","-","4.42%"
"Feb 13, 2001","2,210.6","2,210.6","2,210.6","2,210.6","-","-3.43%"
"Feb 12, 2001","2,289.1","2,289.1","2,289.1","2,289.1","-","1.11%"
"Feb 09, 2001","2,264.0","2,264.0","2,264.0","2,264.0","-","-3.99%"
"Feb 08, 2001","2,358.0","2,358.0","2,358.0","2,358.0","-","-2.24%"
"Feb 07, 2001","2,412.1","2,412.1","2,412.1","2,412.1","-","-2.57%"
"Feb 06, 2001","2,475.7","2,475.7","2,475.7","2,475.7","-","0.24%"
"Feb 05, 2001","2,469.8","2,469.8","2,469.8","2,469.8","-","-0.19%"
"Feb 02, 2001","2,474.6","2,474.6","2,474.6","2,474.6","-","-5.18%"
"Feb 01, 2001","2,609.7","2,609.7","2,609.7","2,609.7","-","0.55%"
"Jan 31, 2001","2,595.5","2,595.5","2,595.5","2,595.5","-","-3.47%"
"Jan 30, 2001","2,688.7","2,688.7","2,688.7","2,688.7","-","-0.31%"
"Jan 29, 2001","2,697.0","2,697.0","2,697.0","2,697.0","-","2.38%"
"Jan 26, 2001","2,634.2","2,634.2","2,634.2","2,634.2","-","1.38%"
"Jan 25, 2001","2,598.3","2,598.3","2,598.3","2,598.3","-","-4.79%"
"Jan 24, 2001","2,729.0","2,729.0","2,729.0","2,729.0","-","-0.13%"
"Jan 23, 2001","2,732.6","2,732.6","2,732.6","2,732.6","-","3.29%"
"Jan 22, 2001","2,645.6","2,645.6","2,645.6","2,645.6","-","-0.47%"
"Jan 19, 2001","2,658.1","2,658.1","2,658.1","2,658.1","-","-0.55%"
"Jan 18, 2001","2,672.9","2,672.9","2,672.9","2,672.9","-","4.37%"
"Jan 17, 2001","2,561.0","2,561.0","2,561.0","2,561.0","-","3.56%"
"Jan 16, 2001","2,473.0","2,473.0","2,473.0","2,473.0","-","-1.41%"
"Jan 12, 2001","2,508.4","2,508.4","2,508.4","2,508.4","-","-0.72%"
"Jan 11, 2001","2,526.6","2,526.6","2,526.6","2,526.6","-","4.58%"
"Jan 10, 2001","2,415.9","2,415.9","2,415.9","2,415.9","-","4.43%"
"Jan 09, 2001","2,313.5","2,313.5","2,313.5","2,313.5","-","1.31%"
"Jan 08, 2001","2,283.6","2,283.6","2,283.6","2,283.6","-","0.60%"
"Jan 05, 2001","2,269.9","2,269.9","2,269.9","2,269.9","-","-7.81%"
"Jan 04, 2001","2,462.3","2,462.3","2,462.3","2,462.3","-","-2.70%"
"Jan 03, 2001","2,530.7","2,530.7","2,530.7","2,530.7","-","18.77%"
"Jan 02, 2001","2,130.7","2,130.7","2,130.7","2,130.7","-","-9.09%"
"Dec 29, 2000","2,343.8","2,343.8","2,343.8","2,343.8","-","-4.99%"
"Dec 28, 2000","2,466.9","2,466.9","2,466.9","2,466.9","-","0.18%"
"Dec 27, 2000","2,462.5","2,462.5","2,462.5","2,462.5","-","2.31%"
"Dec 26, 2000","2,406.8","2,406.8","2,406.8","2,406.8","-","-1.30%"
"Dec 22, 2000","2,438.5","2,438.5","2,438.5","2,438.5","-","9.50%"
"Dec 21, 2000","2,226.9","2,226.9","2,226.9","2,226.9","-","0.66%"
"Dec 20, 2000","2,212.3","2,212.3","2,212.3","2,212.3","-","-7.89%"
"Dec 19, 2000","2,401.8","2,401.8","2,401.8","2,401.8","-","-5.64%"
"Dec 18, 2000","2,545.3","2,545.3","2,545.3","2,545.3","-","-0.25%"
"Dec 15, 2000","2,551.7","2,551.7","2,551.7","2,551.7","-","-3.40%"
"Dec 14, 2000","2,641.5","2,641.5","2,641.5","2,641.5","-","-3.99%"
"Dec 13, 2000","2,751.2","2,751.2","2,751.2","2,751.2","-","-4.00%"
"Dec 12, 2000","2,865.7","2,865.7","2,865.7","2,865.7","-","-3.69%"
"Dec 11, 2000","2,975.5","2,975.5","2,975.5","2,975.5","-","2.68%"
"Dec 08, 2000","2,897.9","2,897.9","2,897.9","2,897.9","-","6.45%"
"Dec 07, 2000","2,722.2","2,722.2","2,722.2","2,722.2","-","-0.87%"
"Dec 06, 2000","2,746.1","2,746.1","2,746.1","2,746.1","-","-3.82%"
"Dec 05, 2000","2,855.3","2,855.3","2,855.3","2,855.3","-","11.68%"
"Dec 04, 2000","2,556.6","2,556.6","2,556.6","2,556.6","-","0.18%"
"Dec 01, 2000","2,551.9","2,551.9","2,551.9","2,551.9","-","1.72%"
"Nov 30, 2000","2,508.7","2,508.7","2,508.7","2,508.7","-","-3.70%"
"Nov 29, 2000","2,605.1","2,605.1","2,605.1","2,605.1","-","-0.69%"
"Nov 28, 2000","2,623.3","2,623.3","2,623.3","2,623.3","-","-5.35%"
"Nov 27, 2000","2,771.7","2,771.7","2,771.7","2,771.7","-","-2.15%"
"Nov 24, 2000","2,832.5","2,832.5","2,832.5","2,832.5","-","6.07%"
"Nov 22, 2000","2,670.5","2,670.5","2,670.5","2,670.5","-","-4.25%"
"Nov 21, 2000","2,788.9","2,788.9","2,788.9","2,788.9","-","-0.21%"
"Nov 20, 2000","2,794.8","2,794.8","2,794.8","2,794.8","-","-4.85%"
"Nov 17, 2000","2,937.3","2,937.3","2,937.3","2,937.3","-","0.33%"
"Nov 16, 2000","2,927.7","2,927.7","2,927.7","2,927.7","-","-4.92%"
